Name,MapDate,DSCI
Texas,20220607,288
Texas,20220614,295
Texas,20220621,300
Texas,20220628,307
Texas,20220705,312
Texas,20220712,342
Texas,20220719,355
Texas,20220726,361
Texas,20220802,367
Texas,20220809,380
Texas,20220816,364
Texas,20220823,309
Texas,20220830,251
Texas,20220906,186
Texas,20220913,179
Texas,20220920,180
Texas,20220927,188
Texas,20221004,219
Texas,20221011,227
Texas,20221018,222
Texas,20221025,226
Texas,20221101,217
Texas,20221108,212
Texas,20221115,209
Texas,20221122,205
Texas,20221129,166
Texas,20221206,167
Texas,20221213,162
Texas,20221220,155
Texas,20221227,155
Texas,20230103,157
Texas,20230110,162
Texas,20230117,171
Texas,20230124,173
Texas,20230131,172
Texas,20230207,170
Texas,20230214,173
Texas,20230221,178
Texas,20230228,187
Texas,20230307,194
Texas,20230314,200
Texas,20230321,203
Texas,20230328,216
Texas,20230404,216
Texas,20230411,194
Texas,20230418,197
Texas,20230425,187
Texas,20230502,184
Texas,20230509,176
Texas,20230516,152
Texas,20230523,133
Texas,20230530,115
Texas,20230606,99
Texas,20230613,88
Texas,20230620,89
Texas,20230627,101
Texas,20230704,108
Texas,20230711,111
Texas,20230718,136
Texas,20230725,151
Texas,20230801,156
Texas,20230808,198
Texas,20230815,223
Texas,20230822,282
Texas,20230829,281
Texas,20230905,306
Texas,20230912,313
Texas,20230919,297
Texas,20230926,288
Texas,20231003,285
Texas,20231010,256
Texas,20231017,250
Texas,20231024,249
Texas,20231031,203
Texas,20231107,200
Texas,20231114,171
Texas,20231121,147
Texas,20231128,137
Texas,20231205,134
Texas,20231212,137
Texas,20231219,133
Texas,20231226,123
Texas,20240102,124
Texas,20240109,103
Texas,20240116,107
Texas,20240123,93
Texas,20240130,77
Texas,20240206,72
Texas,20240213,70
Texas,20240220,73
Texas,20240227,76
Texas,20240305,78
Texas,20240312,85
Texas,20240319,82
Texas,20240326,81
Texas,20240402,82
Texas,20240409,82
Texas,20240416,87
Texas,20240423,92
Texas,20240430,90
Texas,20240507,88
Texas,20240514,91
Texas,20240521,88
Texas,20240528,91
Texas,20240604,86
Texas,20240611,92
Texas,20240618,93
Texas,20240625,78
Texas,20240702,90
Texas,20240709,91
Texas,20240716,94
Texas,20240723,81
Texas,20240730,78
Texas,20240806,92
Texas,20240813,109
